cod_loc,localidad,estado,barriocomu,cod_polbar,objectid
7.0,Bosa,SIN LEGALIZAR,Villa Nhora,70362.0,1640
7.0,Bosa,LEGALIZADO,Nueva Granada II Sector,70216.0,1651
7.0,Bosa,LEGALIZADO,Nueva Granada II Sector Tiboli,70217.0,1652
7.0,Bosa,LEGALIZADO,Holanda III Sector,70116.0,1667
7.0,Bosa,LEGALIZADO,Villa Alegre,70345.0,1670
7.0,Bosa,LEGALIZADO,Brasilia III Sector,70033.0,1676
7.0,Bosa,LEGALIZADO,Brasilia II Sector,70032.0,1677
7.0,Bosa,LEGALIZADO,Villa de Suaita,70354.0,1688
7.0,Bosa,LEGALIZADO,La Esmeralda_,70144.0,1691
7.0,Bosa,LEGALIZADO,El ParaÃ­so__,70075.0,1695
7.0,Bosa,LEGALIZADO,Danubio III,70054.0,1697
7.0,Bosa,LEGALIZADO,La Palma,70169.0,1698
7.0,Bosa,LEGALIZADO,Bosa Nova,70017.0,1702
7.0,Bosa,SIN LEGALIZAR,S.C San Bernardino Potreritos,70288.0,1710
11.0,,LEGALIZADO,Villa Elisa,110800.0,2293
11.0,,SIN LEGALIZAR,Urb. San Alejo,110765.0,2294
11.0,,SIN LEGALIZAR,La Chucua I Sector,110272.0,2303
11.0,,SIN LEGALIZAR,El Pinar de Suba,110832.0,2320
11.0,,SIN LEGALIZAR,Casablanca Sector El Plan,110106.0,2331
11.0,,SIN LEGALIZAR,Ciudad JardÃ­n Norte - Villas de Covaria,110127.0,2352
11.0,,SIN LEGALIZAR,Urb. Iberia III Sector,110716.0,2353
11.0,,SIN LEGALIZAR,Los Portales del Norte II,110350.0,2361
11.0,,SIN LEGALIZAR,Portales del Norte Marbella,110431.0,2362
11.0,,LEGALIZADO,Britalia,110053.0,2363
11.0,,SIN LEGALIZAR,Las Pastorcitas,110319.0,2364
11.0,,SIN LEGALIZAR,El Toro TulipÃ¡n y Tequendama,110215.0,2371
11.0,,SIN LEGALIZAR,Tuna Baja III y III_A,110661.0,2373
11.0,,SIN LEGALIZAR,Urb. Los Sauces,110739.0,2382
11.0,,SIN LEGALIZAR,Urb. El Portal de la Fontana,110702.0,2388
11.0,,SIN LEGALIZAR,Urb. La Floresta V Sector,110077.0,2402
11.0,,LEGALIZADO,Santa Rosa,110610.0,2404
11.0,,SIN LEGALIZAR,Urb. Lagos de CÃ³rdoba,110729.0,2410
